NO,테이블명_영문,테이블명_한글,도메인,세부그룹
1,CAM_CMPG_REACT,캠페인반응,캠페인/CRM,캠페인기본
2,CAP_INS_CR_LN_CLS,보험계약대출마감,계약/보험계약,일반계약
3,CAP_LN_CTM,대출고객,재무/정산,대출
4,CAP_LN_LDG,대출원장,재무/정산,대출
5,CAP_RV_LDG,수납원장,재무/정산,대출
6,CCM_CLM_CVR,사고담보,상품/담보,상품기본
7,CCM_CLM_RCP_NV,사고접수조사,사고/손해(클레임),사고접수/조사
8,CCM_FLT,과실,기타,-
9,CCM_PLN_MVO,현장물동,기타,-
10,CCM_PLN_RYLT_MSTR,자금결의서마스터,공통/마스터,공통기타
11,CLS_CR_CR_DMAMT_CLS,자동차발생손해액마감,계약/보험계약,자동차계약
12,CLS_CR_CR_PL,자동차약관설계,계약/보험계약,자동차계약
13,CLS_CR_PRM_DISS,자동차보험료분배,계약/보험계약,자동차계약
14,CLS_CR_RND_PRM_MMCLS,자동차경과보험료마감,계약/보험계약,자동차계약
15,CLS_CR_RNNWRT_CR,자동차갱신율계약,계약/보험계약,자동차계약
16,CLS_LTRM_MNRT,장기유사율,기타,-
17,CLS_NP_CR_NT,미지급발생이자,재무/정산,재무기타
18,CM_CMPG,CM캠페인,캠페인/CRM,캠페인기본
19,CM_CTMCL_WEB_INFLW_STS,CM고객별웹유입통계,기타,-
20,CM_EVENT_PT,CM이벤트점수,캠페인/CRM,CRM기타
21,CM_WEB_CNO_LOG,CM웹접속로그,캠페인/CRM,CRM기타
22,CM_WEB_CNO_STS,CM웹접속통계,캠페인/CRM,CRM기타
23,CNT_SFA_SP_STACT_CRR,SP표준활동이력,영업/채널(SFA),SFA기타
24,CNT_SMS_SND_LIST,SMS발송리스트,공통/마스터,공통기타
25,COM_CR_DCUNO,계약문서번호,공통/마스터,공통관리
26,COM_FR_LGIN_HMS_ADM,최초로그인시간관리,공통/마스터,공통관리
27,COM_PRNOT_ADM,출력물관리,공통/마스터,공통관리
28,CUS_BZ_FML_CTM,영업가족고객,고객,영업가족고객
29,CUS_BZ_FML_CTM_AD_INFO,영업가족고객추가정보,고객,영업가족고객
30,CUS_BZ_FML_CTM_ADR,영업가족고객주소,고객,영업가족고객
31,CUS_BZ_FML_CTM_CNTAD,영업가족고객연락처,고객,영업가족고객
32,CUS_BZ_FML_CTM_CNTAD_DB,영업가족고객연락처복본,고객,영업가족고객
33,CUS_BZ_FML_CTM_HHD,영업가족고객세대,고객,영업가족고객
34,CUS_BZ_FML_CTM_WST_PR,영업가족고객이력계정,고객,영업가족고객
35,CUS_BZ_FML_HHDMB_COP,영업가족세대원구성,고객,영업가족고객
36,CUS_CH_IT,변경항목,고객,고객기본정보
37,CUS_CNN_PLY,관련증권,고객,고객기본정보
